アンローリング回数, 2, 4, 8, 16, 32, 64
unrolling 64, 3.7012, 3.7207, 3.8877, 4.4629, 5.2480, 6.4053
unrolling 128, 10.4424, 10.2712, 10.5195, 10.1707, 10.3347, 10.7319
unrolling 256, 14.3876, 14.2722, 14.3635, 14.2620, 14.4009, 14.3566
unrolling 512, 14.7260, 14.6779, 14.7135, 14.8362, 14.7756, 14.8528
unrolling 1024, 23.2562, 22.5514, 23.0669, 22.4407, 22.5702, 22.5267
unrolling 2048, 24.7931, 23.5058, 23.1144, 23.3400, 23.5123, 23.6743
unrolling 4096, 25.6914, 26.0062, 25.6764, 26.0124, 26.7169, 26.8477
