アンローリング回数, 2, 4, 8, 16, 32, 64
unrolling 64, 3.9277, 4.3193, 4.1895, 3.9844, 5.0010, 6.3691
unrolling 128, 10.2212, 10.2537, 10.2812, 10.2046, 10.2485, 10.7166
unrolling 256, 14.2842, 14.2968, 14.2619, 14.2382, 14.3609, 14.5414
unrolling 512, 14.7246, 14.6525, 14.6807, 14.6475, 14.8440, 15.0140
unrolling 1024, 21.7381, 21.7548, 21.7313, 23.8990, 21.9104, 22.9513
unrolling 2048, 23.0863, 23.5142, 23.3477, 23.4106, 24.3442, 23.6244
unrolling 4096, 25.9510, 25.7145, 26.3640, 25.9495, 27.1473, 27.2633
